,Company Name,Formerly,Company type,Traded as,ISIN,Industry,Founded,Founder,Headquarters,Key people,Services,Operating income,Net income,AUM,Number of employees,Website,Revenue,Trade name,Predecessor,Area served,Products,Total assets,Total equity,Owner,Subsidiaries,Divisions,Predecessors,Founders,Number of locations,Production output,Brands,Parent
0,3i,Investors in Industry,Public limited company,LSE: IIIFTSE 100 Component,GB00B1YW4409,Corporate finance,1945; 79 years ago (1945),Bank of England and a syndicate of British banks,"London, England, UK",David Hutchinson (chairman)Simon Borrows (CEO) [1],Private equityInfrastructure investment,"£4,018 million (2022)[2]","£4,013 million (2022)[2]",£22.9 billion (2022)[3],c.250 (2023)[4],www.3i.com,,,,,,,,,,,,,,,,
1,Admiral Group,,Public limited company,LSE: ADMFTSE 100 Component,,Insurance,1991,,"Cardiff, Wales, UK",Annette Court (chair­person) Milena Mondini de Focatiis (CEO),,£480.9 million (2022)[1],£371.8 million (2022)[1],,,admiralgroup.co.uk,"£1,491.4 million (2022)[1]",,,,,,,,,,,,,,,
2,Airtel Africa,,PLC,LSE: AAFNGX: AIRTELAFRIFTSE 100 Constituent,,Telecommunications,8 June 2010; 13 years ago (2010-06-08),,"London, England, UK[1]",,"Africa's leading provider of prepaid, postpaid mobile, & 4G services.",$1.535 billion (2022)[2],$0.755 billion (2022)[2],,,airtel.africa,$4.724 billion (2022)[2],Airtel Africa plc,Zain Africa B.V.,Africa,Mobile TelephonyMobile phoneBroadbandInternet Services,$10.364 billion (2022)[2],$3.649 billion (2022)[2],Bharti Airtel (67.2%),Airtel ChadAirtel CongoAirtel DRCAirtel GabonAirtel KenyaAirtel MadagascarAirtel MalawiAirtel NigerAirtel NigeriaAirtel RwandaAirtel SeychellesAirtel TanzaniaAirtel UgandaAirtel Zambia,,,,,,,
3,Anglo American plc,,Public limited company,LSE: AALJSE: AGLFTSE 100 Component,GB00B1XZS820,Metals and mining,1917 (Johannesburg)(Anglo American Corporation)1999 (London)(Anglo American plc),Ernest Oppenheimer,"London, England, UK",Stuart Chambers(chairman of the board)Duncan Wanblad (Chief Executive)[1],,US$10.924 billion (2022)[2],US$6.024 billion (2022)[2],,"95,000 (2023)[4]",angloamerican.com,US$35.127 billion (2022)[2],,,Worldwide,Copperdiamondsiron oremetallurgical coalnickelplatinumthermal coal,,,Vedanta Resources (20%)[3],De Beers,,,,,,,
4,Antofagasta plc,,Public limited company,LSE: ANTOFTSE 100 Component,GB0000456144,Mining,1888; 136 years ago (1888),,"London, England, UK",Jean-Paul Luksic Fontbona (chair­person) Iván Arriagada (CEO),,"US$1,682.4 million (2022)[1]","US$1,955.3 million (2022)[1]",,,www.antofagasta.co.uk,"US$5,862.0 million (2022)[1]",,,Worldwide,Copper,,,,,Antofagasta MiningAntofagasta Transport,,,,,,
5,Ashtead Group,,Public limited company,LSE: AHTFTSE 100 Component,GB0000536739,Plant hire,1947; 77 years ago (1947),,"London, England, UK",Paul Walker (chair­person) Brendan Horgan (CEO),,"£2,056.4 million (2022)[1]","£1,251.1 million (2022)[1]",,"17,568 (2023)[2]",www.ashtead-group.com,"£7,962.3 million (2022)[1]",,,,,,,,,,,,,,,
6,Associated British Foods,George Weston Holdings plc (1934–1994)[1],Public limited company,LSE: ABFFTSE 100 Component,,Food processingRetail,20 October 1935; 88 years ago (1935-10-20),W. Garfield Weston,"London, England, UK",Michael McLintock (chair­person) George G. Weston (CEO),,£1.178 billion (2022)[2],£1.076 billion (2022)[2],,"132,000 (2023)[3]",abf.co.uk,£16.997 billion (2022)[2],,,Worldwide,Foodingredients,£19.775 billion (2022)[2],£11.554 billion (2022)[2],Wittington Investments (54.5%),AB AgriAB MauriAB SugarAB World FoodsAllied BakeriesAllied MillsACH Food CompaniesBritish SugarDorset CerealsIllovo SugarPrimarkWander AG,,,,,,,
7,AstraZeneca,,Public limited company,LSE: AZNFTSE 100 componentNasdaq Stockholm: AZNOMX Stockholm 30 componentNasdaq: AZN (ADR)Nasdaq-100 component,GB0009895292,PharmaceuticalBiotechnology,6 April 1999; 24 years ago (1999-04-06),,"Cambridge, England, UK",Leif Johansson(Chairman)Sir Pascal Soriot(CEO),,US$3.757 billion (2022)[1],US$3.293 billion (2022)[1],,"83,500 (2022)[2]",www.astrazeneca.com,US$44.351 billion (2022)[1],,,Global,Pharmaceutical products,US$96.483 billion (2022)[1],US$37.058 billion (2022)[1],,Alexion PharmaceuticalsMedImmuneEvinova,,Astra ABZeneca Group plc,,,,,
8,Auto Trader Group,,Public,LSE: AUTOFTSE 100 Component,,Automotive trading via Internet and mobile,1975,,"Manchester, England, UK",Ed Williams (chair­person) Nathan Coe (CEO)Catherine Faiers (COO)Jamie Warner (CFO),,£303.6 million (2022)[1],£244.7 million (2022)[1],,,www.autotrader.co.uk,£432.7 million (2022)[1],,,United Kingdom,Vehicle advertisements,,,,"Autorama (acquired in 2022)
Carzone (former)

AutoTrader.co.za (former)",,,"John Madejski, Paul Gibbons, Peter Taylor",,,,
9,Aviva,,Public limited company,LSE: AV.FTSE 100 Component,,Insurance,1696 as Hand in Hand Fire & Life Insurance Society. 2000 as Aviva plc (by merger).,,"London, England, UK",George Culmer (Chairman)Amanda Blanc (CEO),Life insurancePensionsGeneral Insurance,£(2.379) billion (2022)[1],£(1.139) billion (2022)[1],,"22,000 (2022)[2]",www.aviva.com,£(21.244) billion (2022)[1],,CGU plcNorwich Union,,,£315.316 billion (2022)[1],£12.895 billion (2022)[1],,,,,,,,,
